CBDmax_mean;CBDmax_std;THCmax_mean;THCmax_std;LeaflyStrain;Effects__Aroused;Effects__Creative;Effects__Energetic;Effects__Euphoric;Effects__Focused;Effects__Giggly;Effects__Happy;Effects__Hungry;Effects__Relaxed;Effects__Sleepy;Effects__Talkative;Effects__Tingly;Effects__Uplifted;Medical__Cramps;Medical__Depression;Medical__Eye Pressure;Medical__Fatigue;Medical__Headaches;Medical__Inflammation;Medical__Insomnia;Medical__Lack of Appetite;Medical__Muscle Spasms;Medical__Nausea;Medical__Pain;Medical__Seizures;Medical__Spasticity;Medical__Stress;Negatives__Anxious;Negatives__Dizzy;Negatives__Dry Eyes;Negatives__Dry Mouth;Negatives__Headache;Negatives__Paranoid
0.252670339;0.856554911;25.86750414;19.4158874;space-candy;;49.11330049;;;48.64039409;47.99014778;;;100;;;;68.08866995;;94.10230692;;;66.11835507;;;;;19.97993982;86.09829488;;;100;10.18766756;21.17962466;94.90616622;100;5.09383378;
0.4208916;0.48598557;25.74458067;13.46485914;space-cream;;;;71.97452229;46.49681529;;71.97452229;;90.44585987;;;;100;;60.81081081;;;20.27027027;;20.27027027;;;;40.54054054;;;100;;;50;100;25;25
0.263126154;0.358017639;23.87993231;17.6727678;space-dawg;;;;;;83.03030303;86.66666667;76.96969697;100;95.15151515;;;;;7.258064516;;;;;88.70967742;87.90322581;;;97.58064516;;;100;;3.389830508;8.474576271;100;2.542372881;1.694915254
0.195833333;0.203981208;15.55127667;4.165438019;space-jill;;100;84.61538462;69.23076923;92.30769231;;;;;;;;92.30769231;;50;;50;;;;;;12.5;100;;;100;;30;70;100;;10
0.256916119;0.254878849;25.3656795;17.7941133;space-queen;;81.50388203;;75.68599811;;;82.27364645;;100;;;;70.66481667;;100;;44.76191454;;;;69.98008254;;;80.07022443;;;87.1799347;23.59556885;31.44106032;40.83613954;100;;5.590522376
0.23448;0.448016325;17.65758922;3.427599525;special-k;;;82.5;92.5;72.5;;100;;;;;;22.5;;100;;20;20;;20;;;;;;;80;;;3.448275862;100;;
0.1049245;0.010542255;12.69609;1.243715975;special-kush-1;;;;84.83965015;;;83.96501458;4.373177843;100;3.498542274;;;;;14.75409836;;;;;19.67213115;14.75409836;;;100;;;14.75409836;;;25;100;;
0.224387879;0.280991904;31.91894242;20.35301494;star-47;;;;66.66666667;;66.66666667;100;;66.66666667;66.66666667;;;;;100;;;;;100;50;;50;;;;50;;100;;;;
0.074285714;0.087341694;16.92967143;4.448561796;star-berry;;37.5;;50;;;62.5;;100;;;;62.5;;;;40;;40;60;;;;80;;;100;;;50;100;;50
0.222395714;0.260127943;32.6408175;19.66220261;star-killer;;;;82.02637058;;;83.3795975;;100;61.24219292;;;57.66828591;;76.09289617;;;;;71.72131148;59.56284153;;;100;;;98.67941712;26.28062361;9.354120267;48.55233853;100;;5.79064588
0.16;;20.1017;;star-master-kush;;;;69.62025316;;;91.13924051;;100;;;62.02531646;92.40506329;;98;;;;;98;2;;;4;;;100;;;9.803921569;100;;
0.235385714;0.15330525;26.51666429;18.55615841;starbud;;;;64.57765668;;;90.19073569;;100;89.10081744;;;38.69209809;;44.85294118;;;;;100;29.04411765;;;53.67647059;;;94.11764706;4.624277457;4.624277457;100;79.76878613;2.312138728;
0.236896891;0.434646248;29.82812695;16.70420335;stardawg;;;;65.66347497;;;100;56.79060912;74.65459554;;;;72.5035659;;100;;45.91993705;;;;;;35.52749129;58.94577056;;;85.08621272;23.5916392;40.76203308;46.60968146;100;;10.64344048
0.253333333;0.219393102;41.64373333;33.79877758;stardawg-guava;;82.51121076;86.9955157;89.68609865;;;100;;;;;;93.72197309;;93.01075269;;;;;66.12903226;;;73.11827957;88.70967742;;;100;62.5;;81.25;100;;31.25
0.203836667;0.277018618;24.68297533;16.64703063;starfighter;;;;;;;63.91597899;53.11327832;100;;48.76219055;;60.7651913;;31.12094395;;;87.31563422;;;14.01179941;;;88.05309735;;;100;2.201257862;100;19.65408805;5.503144654;;1.100628931
0.14;;20.0409;;starry-night;;54.71698113;94.33962264;;95.47169811;;100;;;;;;95.47169811;;100;;92.14659686;;35.60209424;;;;;95.28795812;;;46.59685864;;;100;8.823529412;;
0.213333333;0.15011107;64.50333333;37.40652394;stella-blue;;50;83.33333333;;;;100;;66.66666667;;;;83.33333333;;83.33333333;;100;;;;33.33333333;;;66.66666667;;;83.33333333;;;42.85714286;100;;14.28571429
